week,player_id,player_name,player_SlotId,actual_points,player_position,player_team,projected_points,team_id,manager,team_name,Fantasy_Position,actual_position
9.0,16800.0,Davante Adams,4.0,31.6,3.0,13.0,14.1,7.0,THIC,Kittle's Coming Home!,WR,WR
9.0,4241478.0,DeVonta Smith,4.0,3.2,3.0,21.0,10.5,7.0,THIC,Kittle's Coming Home!,WR,WR
4.0,3116406.0,Tyreek Hill,4.0,20.9,3.0,15.0,16.1,8.0,GREG,Greg's Gang,WR,WR
4.0,4047650.0,DK Metcalf,4.0,18.4,3.0,26.0,10.7,8.0,GREG,Greg's Gang,WR,WR
5.0,3116406.0,Tyreek Hill,4.0,9.5,3.0,15.0,15.9,8.0,GREG,Greg's Gang,WR,WR
5.0,4047650.0,DK Metcalf,4.0,15.3,3.0,26.0,12.8,8.0,GREG,Greg's Gang,WR,WR
7.0,3116406.0,Tyreek Hill,4.0,10.7,3.0,15.0,16.2,8.0,GREG,Greg's Gang,WR,WR
7.0,4047650.0,DK Metcalf,4.0,1.7,3.0,26.0,13.3,8.0,GREG,Greg's Gang,WR,WR
6.0,3116406.0,Tyreek Hill,4.0,23.7,3.0,15.0,14.3,8.0,GREG,Greg's Gang,WR,WR
6.0,4047650.0,DK Metcalf,4.0,4.4,3.0,26.0,14.0,8.0,GREG,Greg's Gang,WR,WR
2.0,3116406.0,Tyreek Hill,4.0,36.5,3.0,15.0,14.0,8.0,GREG,Greg's Gang,WR,WR
2.0,4047650.0,DK Metcalf,4.0,5.5,3.0,26.0,10.6,8.0,GREG,Greg's Gang,WR,WR
3.0,3116406.0,Tyreek Hill,4.0,4.3,3.0,15.0,16.2,8.0,GREG,Greg's Gang,WR,WR
3.0,4243537.0,Gabe Davis,4.0,5.2,3.0,2.0,11.7,8.0,GREG,Greg's Gang,WR,WR
1.0,3116406.0,Tyreek Hill,4.0,14.0,3.0,15.0,13.0,8.0,GREG,Greg's Gang,WR,WR
1.0,4047650.0,DK Metcalf,4.0,5.1,3.0,26.0,10.8,8.0,GREG,Greg's Gang,WR,WR
10.0,3116406.0,Tyreek Hill,4.0,12.9,3.0,15.0,18.9,8.0,GREG,Greg's Gang,WR,WR
10.0,4047650.0,DK Metcalf,4.0,10.1,3.0,26.0,12.2,8.0,GREG,Greg's Gang,WR,WR
8.0,3116406.0,Tyreek Hill,4.0,25.5,3.0,15.0,17.6,8.0,GREG,Greg's Gang,WR,WR
8.0,4243537.0,Gabe Davis,4.0,4.5,3.0,2.0,10.1,8.0,GREG,Greg's Gang,WR,WR
9.0,3116406.0,Tyreek Hill,4.0,23.8,3.0,15.0,19.0,8.0,GREG,Greg's Gang,WR,WR
9.0,4047650.0,DK Metcalf,4.0,12.2,3.0,26.0,12.6,8.0,GREG,Greg's Gang,WR,WR
4.0,4241389.0,CeeDee Lamb,4.0,18.7,3.0,6.0,13.4,9.0,Reid,I Hate Joe Burrow,WR,WR
4.0,3121422.0,Terry McLaurin,4.0,2.5,3.0,28.0,11.3,9.0,Reid,I Hate Joe Burrow,WR,WR
5.0,3121422.0,Terry McLaurin,4.0,10.1,3.0,28.0,11.0,9.0,Reid,I Hate Joe Burrow,WR,WR
5.0,4361370.0,Chris Olave,4.0,13.4,3.0,18.0,11.5,9.0,Reid,I Hate Joe Burrow,WR,WR
7.0,4241389.0,CeeDee Lamb,4.0,8.6,3.0,6.0,15.7,9.0,Reid,I Hate Joe Burrow,WR,WR
7.0,3121422.0,Terry McLaurin,4.0,15.8,3.0,28.0,9.7,9.0,Reid,I Hate Joe Burrow,WR,WR
6.0,4241389.0,CeeDee Lamb,4.0,10.2,3.0,6.0,13.8,9.0,Reid,I Hate Joe Burrow,WR,WR
6.0,3121422.0,Terry McLaurin,4.0,6.7,3.0,28.0,10.1,9.0,Reid,I Hate Joe Burrow,WR,WR
2.0,4241389.0,CeeDee Lamb,4.0,11.6,3.0,6.0,11.2,9.0,Reid,I Hate Joe Burrow,WR,WR
2.0,3121422.0,Terry McLaurin,4.0,10.2,3.0,28.0,12.0,9.0,Reid,I Hate Joe Burrow,WR,WR
3.0,4241389.0,CeeDee Lamb,4.0,18.7,3.0,6.0,10.9,9.0,Reid,I Hate Joe Burrow,WR,WR
3.0,3121422.0,Terry McLaurin,4.0,13.2,3.0,28.0,11.0,9.0,Reid,I Hate Joe Burrow,WR,WR
1.0,4241389.0,CeeDee Lamb,4.0,3.9,3.0,6.0,14.0,9.0,Reid,I Hate Joe Burrow,WR,WR
1.0,3121422.0,Terry McLaurin,4.0,12.8,3.0,28.0,11.8,9.0,Reid,I Hate Joe Burrow,WR,WR
10.0,3121422.0,Terry McLaurin,4.0,16.8,3.0,28.0,11.0,9.0,Reid,I Hate Joe Burrow,WR,WR
10.0,4361370.0,Chris Olave,4.0,5.5,3.0,18.0,11.2,9.0,Reid,I Hate Joe Burrow,WR,WR
8.0,4241389.0,CeeDee Lamb,4.0,16.3,3.0,6.0,12.7,9.0,Reid,I Hate Joe Burrow,WR,WR
